Date,Yakima County,Pierce County,Snohomish County,Kittitas County,King County,Franklin County,Chelan County,Grant County,Grays Harbor County,Spokane County,Skagit County,Benton County,Kitsap County,Whatcom County,Island County,Clark County,Thurston County,Cowlitz County,Jefferson County,Clallam County,Douglas County,Stevens County,Columbia County,Mason County,Lincoln County,Klickitat County,Whitman County,Lewis County,Walla Walla County,San Juan County,Adams County,Okanogan County,Ferry County,Asotin County,Wahkiakum County,Pend Oreille County,Skamania County,Pacific County,Unassigned,Garfield County
2020-01-16,1-0-0,1-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-01-26,1-0-0,1-0-0,2-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-02-02,1-0-0,1-0-0,8-0-0,1-0-0,3-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-02-09,4-0-0,1-0-0,12-0-0,1-0-0,8-0-0,1-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-02-16,6-0-0,3-0-0,32-1-0,4-0-0,54-9-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-02-23,6-0-0,14-0-0,84-3-8,4-0-0,169-38-31,2-0-0,1-0-0,2-1-1,2-0-0,2-1-0,2-0-0,1-0-1,2-0-0,2-0-0,2-0-0,4-2-0,1-0-0,1-0-0,2-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-03-01,20-0-0,52-2-5,286-17-32,4-0-0,464-86-116,4-0-0,1-0-0,6-1-2,3-0-1,11-2-0,10-1-0,8-3-1,8-0-1,8-0-1,12-0-0,9-4-2,5-0-0,2-0-0,6-0-1,2-0-0,3-0-0,1-0-0,1-0-0,1-0-0,1-0-0,2-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-03-08,43-1-0,158-6-15,630-39-89,6-0-0,1251-143-234,10-0-1,9-1-0,42-1-3,3-0-1,49-5-1,53-2-2,25-7-6,30-0-3,35-3-5,37-1-5,39-5-3,22-1-4,10-0-1,16-0-2,7-0-0,4-1-0,2-0-0,1-0-0,2-0-0,1-0-0,2-0-0,1-0-0,3-0-1,1-0-0,1-0-0,4-0-0,3-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-03-15,119-3-6,382-13-51,1127-62-173,11-0-0,2296-228-372,28-0-5,17-3-3,75-2-7,4-0-1,141-7-10,102-3-6,83-15-12,64-0-4,107-15-18,71-3-7,96-7-11,37-1-5,18-0-5,25-0-4,10-0-1,5-1-0,2-0-1,1-0-0,9-0-0,1-0-0,8-1-1,5-0-0,13-1-1,3-0-0,4-0-1,7-0-1,4-0-0,1-0-0,2-1-0,1-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0
2020-03-22,277-20-21,625-23-103,1555-79-258,13-0-0,3397-328-597,76-3-9,29-4-4,97-2-14,7-0-2,213-16-30,145-4-14,188-32-44,100-1-7,191-22-23,142-9-13,165-13-32,68-1-9,21-0-6,28-0-5,10-0-1,13-1-3,6-1-1,1-0-0,15-0-0,1-0-0,10-2-2,8-0-0,17-2-1,8-0-0,8-0-1,19-0-5,8-1-0,1-0-0,3-1-0,2-0-0,1-0-0,2-0-0,0-0-0,0-0-0,0-0-0
2020-03-29,515-35-48,906-40-148,1856-97-342,15-0-0,4391-399-860,129-5-11,53-5-6,116-2-18,11-0-2,260-18-39,186-8-22,276-41-61,127-2-20,253-28-30,164-9-18,213-14-47,84-1-12,28-0-8,30-0-5,13-0-1,21-1-3,7-1-2,1-0-0,21-0-1,1-0-0,12-2-2,12-0-0,19-2-5,19-0-1,13-0-1,34-0-5,12-1-1,1-0-0,5-1-1,2-0-0,1-0-0,2-0-1,2-1-0,0-0-0,0-0-0
2020-04-05,755-53-80,1095-51-189,2076-111-390,16-0-0,5196-451-1053,193-7-19,69-5-10,143-2-20,12-0-6,292-26-54,230-9-25,348-44-71,138-2-23,274-31-36,168-9-19,275-18-63,94-1-14,34-0-9,30-0-5,14-0-2,29-1-4,7-1-3,1-0-0,23-1-1,2-0-0,16-3-3,12-0-0,22-3-5,35-1-3,14-0-1,41-0-6,14-1-1,1-0-0,12-2-1,2-0-0,2-0-0,3-0-1,3-1-0,0-0-0,0-0-0
2020-04-12,998-63-96,1293-64-223,2278-121-429,16-0-0,5935-499-1191,271-12-30,94-5-10,157-3-20,12-0-6,323-30-59,283-11-36,415-46-81,147-2-23,286-32-39,169-9-20,322-23-71,106-1-15,44-0-10,30-0-5,14-0-2,67-1-6,9-1-3,1-0-0,26-1-3,2-0-0,16-3-4,15-0-0,23-3-5,48-2-3,15-0-1,43-0-6,17-2-1,1-0-0,16-2-1,2-0-0,2-0-0,3-0-1,3-1-0,0-0-0,0-0-0
2020-04-19,1286-73-124,1456-76-247,2474-131-458,17-0-0,6552-534-1316,348-18-40,120-5-10,168-3-20,12-0-6,365-34-67,351-13-40,517-61-96,150-2-24,298-32-42,172-10-20,345-27-76,113-1-16,49-0-11,30-0-5,18-0-2,80-2-6,9-1-4,1-0-0,28-1-4,2-0-0,18-3-4,16-0-0,28-3-7,77-3-7,15-0-1,47-0-6,23-2-1,1-0-0,19-2-1,2-0-0,2-0-0,3-0-1,4-1-0,0-0-0,0-0-0
2020-04-26,1693-87-148,1610-81-281,2660-144-487,20-0-1,7136-561-1396,421-21-46,139-6-12,181-4-21,13-0-6,387-35-69,393-13-44,598-68-109,153-2-24,321-33-44,177-10-22,365-28-77,118-1-17,63-0-11,30-0-5,19-0-2,103-3-10,9-1-4,1-0-0,31-1-4,2-0-0,21-3-4,16-0-0,29-3-7,95-3-7,15-0-1,49-0-6,24-2-2,1-0-0,19-2-1,2-0-0,2-0-0,3-0-1,6-1-0,0-0-0,0-0-0
2020-05-03,2218-102-179,1755-87-295,2774-148-519,50-0-1,7559-578-1459,461-25-54,164-6-13,192-4-21,15-0-6,406-36-70,419-14-47,642-70-119,155-2-24,337-34-46,181-11-23,387-28-80,123-1-17,68-0-11,30-0-6,19-0-2,123-3-10,9-1-4,1-0-0,32-1-4,2-0-0,24-3-4,16-0-0,30-3-7,102-3-7,15-0-1,50-0-6,35-2-4,1-0-0,19-2-1,4-0-0,2-0-0,3-0-1,9-1-0,0-0-0,0-0-0
2020-05-10,2870-115-211,1854-92-310,2873-156-535,69-0-1,7975-595-1514,520-27-62,199-6-14,199-4-21,15-0-7,450-37-74,430-14-49,710-72-126,160-2-24,357-34-46,182-11-23,408-28-82,126-1-17,73-0-11,30-0-6,23-0-2,144-3-10,10-1-4,1-0-0,35-1-4,2-0-0,25-3-4,18-0-0,34-3-8,108-3-7,15-0-1,52-0-6,45-2-4,1-0-0,19-2-1,4-0-0,2-0-0,3-0-1,9-1-0,1-0-0,0-0-0
2020-05-17,3553-121-260,1937-95-320,2969-165-551,85-0-1,8301-603-1563,614-28-65,242-6-14,217-4-22,17-0-7,558-39-81,432-14-50,811-75-133,161-2-25,378-35-47,183-11-23,477-29-88,132-1-17,75-0-11,30-0-6,25-0-2,167-3-11,12-1-4,1-0-0,37-1-4,2-0-0,26-3-4,20-0-0,34-3-9,110-3-8,15-0-1,57-0-6,46-2-4,1-0-0,20-2-1,4-0-0,3-0-0,3-0-1,9-1-0,7-0-0,0-0-0
2020-05-24,4322-133-322,2028-98-334,3029-167-565,91-0-2,8621-612-1601,767-29-76,262-6-17,241-5-22,18-0-7,657-40-86,445-14-50,931-77-149,165-2-25,403-35-48,184-11-24,553-30-91,160-3-20,78-0-11,30-0-6,27-0-2,178-3-11,13-1-4,1-0-0,39-1-4,2-0-0,29-3-4,20-0-0,36-3-9,113-3-8,15-0-1,74-0-6,55-2-5,1-0-0,20-2-1,4-0-0,3-0-0,3-0-1,9-1-0,12-0-0,0-0-0
2020-05-31,5294-144-364,2120-99-346,3110-170-574,92-0-2,8885-619-1631,1004-32-87,268-6-17,267-5-26,22-0-7,793-41-89,456-14-50,1118-80-168,177-2-25,433-35-48,184-11-24,611-30-92,186-5-26,113-0-13,31-0-6,28-0-3,181-4-11,14-1-4,1-0-0,41-1-5,2-0-0,43-3-4,27-0-0,36-3-9,123-3-8,16-0-1,88-0-6,67-2-5,1-0-0,21-2-1,4-0-0,3-0-0,3-0-1,10-1-0,12-0-0,0-0-0
2020-06-07,6154-174-427,2229-100-358,3222-175-587,98-0-2,9274-625-1658,1265-37-105,278-6-17,350-6-28,23-0-7,928-42-96,476-14-53,1375-80-184,188-2-27,470-36-48,187-11-24,652-31-98,206-6-33,138-0-14,32-0-6,32-0-3,194-4-11,16-1-4,3-0-0,44-1-5,2-0-0,53-3-4,29-0-0,41-3-9,136-3-8,16-0-1,100-0-7,79-2-5,1-0-0,21-2-1,4-0-0,3-0-0,3-0-1,12-1-0,13-0-0,0-0-0
2020-06-14,6975-194-488,2433-108-366,3399-181-596,120-0-2,9891-632-1688,1588-37-132,302-6-18,484-8-34,26-0-7,1138-44-107,496-14-55,1655-92-201,213-2-28,557-36-49,191-11-24,719-32-101,234-6-34,171-0-16,35-0-7,33-0-3,214-4-11,18-1-4,8-0-0,48-1-5,4-0-0,58-3-6,33-0-0,59-3-12,154-3-9,19-0-1,113-0-8,89-2-6,1-0-0,22-2-1,5-0-0,3-0-0,4-0-1,12-1-0,18-0-0,0-0-0
2020-06-21,7716-210-540,2716-116-383,3635-185-609,167-0-5,10788-639-1734,1969-40-152,362-6-18,583-9-46,33-1-8,1569-48-125,529-14-56,1955-99-223,256-2-33,640-36-53,200-11-25,877-34-108,287-7-35,209-2-18,38-0-8,41-0-3,261-4-11,23-1-5,8-0-2,55-1-5,4-0-0,69-3-6,41-0-1,82-3-13,184-3-12,19-0-1,144-0-9,112-2-7,1-0-0,23-2-1,6-0-0,6-0-0,10-1-2,17-1-0,23-0-0,0-0-0
2020-06-28,8360-224-590,3071-123-400,3926-186-616,202-0-5,11970-652-1773,2386-46-176,480-7-21,703-10-55,50-2-9,2063-51-152,584-16-58,2331-107-245,313-3-35,686-36-58,205-11-25,1059-37-118,347-7-38,249-2-20,42-0-8,46-0-3,348-4-13,29-1-5,8-0-2,65-1-6,4-0-0,84-3-6,49-0-1,101-3-15,220-3-12,21-0-1,198-0-9,184-3-9,3-0-0,23-2-1,6-0-0,8-0-0,23-1-2,18-1-1,31-0-0,1-0-0
2020-07-05,8987-233-615,3599-129-417,4289-189-632,255-2-6,13146-666-1829,2725-50-195,637-9-26,898-11-64,61-3-10,2567-56-173,655-19-63,2748-112-269,401-5-37,748-37-61,212-11-25,1338-42-132,431-9-43,361-5-24,45-0-8,63-0-3,453-5-20,44-1-6,9-0-2,81-1-6,4-0-0,87-3-6,57-0-1,127-3-15,277-3-15,23-0-1,255-0-10,313-5-13,7-0-0,23-2-1,6-0-0,17-0-0,43-1-2,18-1-1,53-0-0,2-0-0
2020-07-12,9483-243-659,4226-145-447,4679-195-649,336-8-7,14328-685-1885,3052-53-218,832-10-30,1031-11-70,74-3-11,3080-68-204,721-21-68,3107-120-284,521-7-45,813-38-66,221-11-25,1616-45-142,521-11-48,414-5-31,50-0-10,75-0-3,608-6-24,60-2-7,10-0-2,97-1-7,7-0-0,97-3-6,72-0-1,156-3-17,333-3-18,27-0-1,319-2-14,508-7-16,9-0-0,24-2-1,6-0-0,26-0-3,47-1-2,27-2-1,75-0-0,2-0-0
2020-07-19,9894-249-687,4917-158-493,5020-197-665,391-19-15,15447-702-1933,3307-55-230,1041-12-35,1207-15-76,92-3-12,3680-94-239,781-22-76,3462-123-299,628-8-51,886-38-72,237-11-25,1786-46-153,605-12-54,439-5-31,52-0-10,95-1-3,752-9-30,74-2-8,12-0-3,143-1-8,12-0-0,106-3-7,88-0-1,185-3-19,406-4-24,28-0-1,372-5-18,719-7-22,13-0-0,25-2-1,6-0-0,36-0-4,51-1-4,34-2-1,113-0-2,2-0-0
2020-07-26,10222-251-704,5509-170-545,5382-203-687,418-21-18,16470-728-2003,3512-57-238,1274-13-43,1374-15-80,108-4-13,4275-124-291,856-23-80,3680-125-310,730-9-56,953-38-75,246-11-25,1965-51-168,681-13-59,479-6-32,55-0-10,114-1-4,884-10-35,105-2-10,13-1-3,192-1-10,20-0-1,117-3-7,101-0-1,210-3-20,507-4-32,28-0-1,406-5-19,844-8-33,20-0-0,31-2-1,6-0-0,39-0-4,55-1-4,44-2-2,132-1-2,3-0-0
2020-08-02,10507-260-723,5975-177-597,5668-207-711,450-22-22,17491-742-2060,3687-57-244,1436-13-48,1583-18-90,134-6-14,4697-137-323,917-23-82,3817-126-322,799-9-61,1003-38-76,252-11-25,2150-55-179,770-16-63,507-6-32,57-0-10,144-1-4,990-10-43,115-2-12,13-1-3,245-1-12,30-0-1,134-3-7,131-0-2,250-4-23,576-5-35,28-0-1,462-8-25,939-9-38,23-0-0,38-2-1,6-0-0,46-0-5,57-1-4,55-3-3,168-1-2,4-0-0
2020-08-09,10726-263-743,6343-182-637,5894-211-727,459-22-22,18457-752-2117,3846-58-250,1586-16-53,1906-21-99,177-6-16,4952-140-337,961-24-85,3952-126-328,886-12-72,1039-38-77,262-11-25,2323-58-198,832-16-68,522-6-33,62-0-11,170-1-4,1070-10-49,122-2-12,13-1-3,276-1-13,31-1-2,161-3-7,143-0-2,303-4-27,670-5-36,29-0-1,513-8-28,996-11-45,23-0-0,47-2-1,7-0-0,51-0-5,58-1-4,59-3-3,185-1-4,4-0-0
2020-08-16,10878-265-754,6667-190-661,6101-213-746,465-22-22,19243-761-2172,3928-59-256,1694-17-62,2137-24-111,226-7-19,5158-149-355,1000-24-87,4080-126-340,969-14-81,1068-38-79,268-11-25,2474-61-212,901-16-74,541-6-35,69-0-11,195-1-4,1127-10-52,127-2-13,13-1-3,304-2-14,31-1-2,174-3-7,274-0-2,331-4-28,732-6-43,29-0-2,573-8-31,1045-11-47,24-0-1,54-2-1,7-0-0,53-0-5,58-1-4,59-3-3,211-1-5,4-0-0
2020-08-23,11004-269-762,6958-195-689,6313-215-755,471-22-22,19975-768-2204,4033-64-264,1738-18-68,2339-26-125,274-9-22,5416-155-380,1035-24-90,4201-127-350,1038-16-87,1121-38-80,272-11-25,2618-66-225,949-17-82,554-6-36,70-0-11,206-1-4,1154-10-54,131-2-13,13-1-3,332-3-17,32-1-2,184-3-7,606-0-2,356-4-28,781-6-44,29-0-2,635-10-36,1072-11-47,27-0-1,57-2-4,7-0-0,55-0-5,58-1-4,61-3-3,239-1-6,4-0-0
2020-08-30,11129-272-768,7209-203-706,6510-216-772,488-23-22,20629-773-2252,4117-64-273,1783-18-72,2545-26-129,331-9-22,5692-162-390,1056-24-93,4294-130-358,1077-16-88,1169-38-81,275-11-25,2814-67-239,980-18-86,578-6-36,70-0-11,213-1-5,1163-10-55,136-2-13,14-1-3,349-3-18,35-1-2,184-3-7,913-0-2,412-4-31,815-6-44,29-0-2,727-10-40,1080-11-47,29-0-1,65-2-4,7-0-0,56-0-5,60-1-4,70-3-3,256-1-7,10-0-0
2020-09-06,11235-274-776,7428-206-727,6650-218-781,505-23-23,21184-775-2278,4183-65-284,1828-18-72,2715-26-135,407-11-27,6005-166-413,1073-24-94,4377-131-365,1129-16-96,1231-39-89,288-11-25,2920-70-250,1017-18-90,598-7-37,71-0-11,219-1-5,1174-10-57,140-2-13,14-1-3,363-3-19,40-2-2,189-3-8,1075-1-2,456-4-32,846-6-44,29-0-2,776-10-45,1081-11-49,29-0-1,77-2-6,7-0-0,58-0-5,60-1-4,78-3-3,266-2-7,10-0-0
2020-09-13,11351-275-785,7735-213-762,6837-220-789,539-23-23,21773-781-2302,4261-67-295,1841-18-73,2871-27-142,475-11-30,6436-180-446,1095-26-95,4479-132-374,1184-19-98,1315-45-93,305-11-26,3080-74-269,1059-19-94,656-7-38,71-0-11,229-1-7,1178-10-57,159-4-15,14-1-3,386-4-20,43-2-2,193-3-8,1184-1-3,493-7-33,878-6-47,29-0-2,821-11-48,1083-11-49,29-0-1,104-3-7,7-0-0,59-0-5,63-1-4,80-3-3,280-2-7,12-0-0
2020-09-20,11462-275-792,8106-217-793,7072-221-805,564-23-24,22525-791-2343,4367-68-298,1864-18-73,2997-28-149,527-11-35,7031-186-479,1116-26-97,4607-132-382,1257-21-100,1379-50-95,315-12-27,3301-78-284,1136-20-98,694-7-40,71-0-11,236-1-7,1192-10-57,185-4-17,14-1-3,415-7-22,51-2-3,195-3-8,1326-1-3,572-11-37,915-6-49,29-0-2,860-11-50,1088-11-49,30-0-1,125-6-10,7-0-0,67-0-6,64-1-4,87-3-3,291-2-7,13-0-0
2020-09-27,11566-277-797,8500-223-811,7368-222-821,613-23-25,23565-799-2381,4476-68-303,1904-18-74,3078-28-151,573-11-35,7623-192-506,1151-26-98,4763-132-388,1342-23-101,1432-50-98,327-12-27,3534-81-299,1246-20-105,723-7-40,76-0-11,241-1-8,1202-10-59,209-4-19,14-1-3,459-10-23,63-2-3,199-3-8,1415-4-4,616-12-39,943-6-49,29-0-2,876-11-52,1093-11-49,30-0-1,146-6-14,8-0-0,95-0-6,64-1-4,93-3-3,309-3-7,13-0-0
2020-10-04,11669-277-803,9000-226-842,7807-230-836,674-23-25,24637-808-2432,4614-68-308,1944-18-74,3192-28-160,616-12-37,8218-197-532,1184-26-98,4914-133-399,1400-23-107,1482-50-101,349-12-29,3810-82-313,1350-24-107,754-7-40,83-0-11,247-1-8,1220-10-59,228-5-20,14-1-3,489-10-25,64-2-3,204-3-9,1557-14-10,650-12-42,973-6-52,29-0-2,896-11-54,1097-11-50,31-0-1,176-6-15,9-0-0,122-1-7,66-1-4,106-3-3,328-3-7,14-0-0
2020-10-11,11792-279-811,9478-231-869,8287-237-868,723-23-25,25757-811-2483,4735-68-310,1976-18-78,3287-28-171,665-12-40,8777-204-575,1223-26-100,5096-134-405,1467-23-107,1543-51-102,373-12-29,4084-83-330,1496-34-120,791-7-44,85-0-12,257-1-8,1226-10-59,246-5-22,16-1-3,505-10-25,72-2-3,206-3-9,1689-16-13,691-13-46,1038-6-53,32-0-2,913-11-58,1104-11-50,32-0-1,213-8-21,10-0-0,137-1-8,72-1-4,115-3-3,344-3-7,14-0-0
2020-10-18,11931-279-814,10068-233-909,8830-239-900,765-23-25,27119-821-2533,4872-68-316,2007-18-81,3344-29-175,718-12-42,9461-212-610,1260-26-103,5271-136-410,1529-23-107,1593-51-105,393-12-30,4354-87-351,1624-37-129,819-7-47,86-0-12,265-1-11,1242-10-59,264-5-23,17-1-3,530-10-25,81-2-3,209-3-9,1792-21-22,736-13-50,1168-8-64,34-0-2,923-11-58,1118-11-51,34-1-2,247-8-22,10-0-0,144-1-8,73-1-4,120-3-3,354-3-7,25-0-0
2020-10-25,12086-280-820,10808-234-953,9397-240-923,778-23-26,28942-822-2587,5022-69-322,2044-19-85,3414-29-180,751-12-45,10175-212-663,1326-26-105,5586-137-418,1655-23-110,1655-51-106,416-12-31,4721-87-381,1752-38-143,869-7-49,89-0-12,274-1-11,1246-10-59,309-6-24,22-1-3,551-10-29,83-2-3,214-3-9,1852-21-26,775-13-53,1347-10-74,36-0-2,959-11-58,1135-11-53,36-1-2,321-8-23,11-0-0,155-1-9,73-1-4,123-3-3,364-3-9,35-0-0
2020-11-01,12203-280-821,11563-234-967,10077-240-931,781-23-26,30854-822-2612,5142-69-323,2094-19-86,3450-29-182,786-12-46,10914-212-682,1402-26-107,5898-137-423,1726-23-114,1696-51-110,432-12-32,5113-88-389,1859-38-147,915-7-49,92-0-12,283-1-11,1255-10-59,342-6-26,23-1-4,570-10-29,85-2-3,220-3-9,1921-21-29,791-13-53,1460-10-80,39-0-2,989-11-58,1141-11-53,37-1-2,341-9-23,11-0-0,161-1-9,74-1-4,132-3-3,419-3-9,40-0-0
